x	y	type	ai	info	cplx	Nxy_ai	log_confidence	infOrt	trueOrt	isOrtOk	sign	partial_correlation
000000000000001001000000000000000	HoxB4	Ldb1	N	NA	1.61387	3.12578	3934	-1.51191	0	NA	NA	NA	NA
000000000000010000001000000000000	HoxB2	Mecom	N	NA	1.04111	2.5643	3934	-1.52319	0	NA	NA	NA	NA
000000000000010100000000000000000	HoxB2	HoxD8	N	NA	0.0336521	1.59694	3934	-1.5632879	0	NA	NA	NA	NA
000000000000000000001000000000001	Mecom	Tbx3	N	NA	2.02995	3.6132	3934	-1.58325	0	NA	NA	NA	NA
000000010000000000000000000000001	FoxH1	Tbx3	N	NA	1.48451	3.08747	3934	-1.60296	0	NA	NA	NA	NA
000010000000000000000010000000000	Etv2	Mitf	N	Tbx20,Gata1	9.45634	11.0772	3934	-1.62086	0	NA	NA	NA	NA
010001000000000000000000000000000	Erg	Etv6	N	Fli1,Notch1,Ets1	12.0164	13.6521	3934	-1.6357	0	NA	NA	NA	NA
100000001000000000000000000000000	Cbfa2t3h	FoxO4	N	NA	1.24686	2.89512	3934	-1.64826	0	NA	NA	NA	NA
000100000000010000000000000000000	Ets2	HoxB2	N	NA	0.0561441	1.70781	3934	-1.6516659	0	NA	NA	NA	NA
000000000000000000010000100000000	Lyl1	Nfe2	N	Ikaros,Gfi1b	8.31026	9.97175	3934	-1.66149	0	NA	NA	NA	NA
000000100000000000000000000000010	Fli1	Tbx20	N	Etv2	4.50489	6.16741	3934	-1.66252	0	NA	NA	NA	NA
000100000000000000100000000000000	Ets2	Lmo2	N	Sox7	2.82752	4.49195	3934	-1.66443	0	NA	NA	NA	NA
000100000000000100000000000000000	Ets2	HoxD8	N	NA	0.0612559	1.7263	3934	-1.6650441	0	NA	NA	NA	NA
000000010000000000000000010000000	FoxH1	Notch1	N	NA	1.40879	3.08015	3934	-1.67136	0	NA	NA	NA	NA
000000000000100000000000000010000	Hhex	Sox17	N	Sox7,Notch1,Erg	14.6168	16.2892	3934	-1.6724	0	NA	NA	NA	NA
000000001010000000000000000000000	FoxO4	Gfi1	N	Gfi1b	2.58124	4.25602	3934	-1.67478	0	NA	NA	NA	NA
